,FINESS_O,FINESS_D,O,D,O_lat,O_lon,D_lat,D_lon,ID,id_coord,Results_value_17h,minutes_17h
2551,660000084,440017598,"42.7234650307891,2.88947268831773","47.249930889533,-1.63351372376691",42.7234650307891,2.88947268831773,47.249930889533,-1.63351372376691,660000084-440017598,"2.88947268831773,42.7234650307891--1.63351372376691,47.249930889533",7:15:00,435
2552,130780521,930300025,"43.3790936619422,5.36104667410839","48.9053098427993,2.39021276397707",43.3790936619422,5.36104667410839,48.9053098427993,2.39021276397707,130780521-930300025,"5.36104667410839,43.3790936619422-2.39021276397707,48.9053098427993",7:16:00,436
2553,930300025,340782085,"48.9053098427993,2.39021276397707","43.6293421830654,3.86109562857508",48.9053098427993,2.39021276397707,43.6293421830654,3.86109562857508,930300025-340782085,"2.39021276397707,48.9053098427993-3.86109562857508,43.6293421830654",7:16:00,436
2554,640000162,920120011,"43.4831123974295,-1.48230729819466","48.8143986458456,2.25568637311088",43.4831123974295,-1.48230729819466,48.8143986458456,2.25568637311088,640000162-920120011,"-1.48230729819466,43.4831123974295-2.25568637311088,48.8143986458456",7:16:00,436
2555,640780946,750120016,"43.3237674948806,-0.350430204816629","48.8380976694563,2.34424407470017",43.3237674948806,-0.350430204816629,48.8380976694563,2.34424407470017,640780946-750120016,"-0.350430204816629,43.3237674948806-2.34424407470017,48.8380976694563",7:16:00,436
2556,670783273,490000049,"48.5896720587813,7.70972682843346","47.4804327922018,-0.554915702306227",48.5896720587813,7.70972682843346,47.4804327922018,-0.554915702306227,670783273-490000049,"7.70972682843346,48.5896720587813--0.554915702306227,47.4804327922018",7:16:00,436
2557,920120011,130780521,"48.8143986458456,2.25568637311088","43.3790936619422,5.36104667410839",48.8143986458456,2.25568637311088,43.3790936619422,5.36104667410839,920120011-130780521,"2.25568637311088,48.8143986458456-5.36104667410839,43.3790936619422",7:16:00,436
2558,640780946,750100208,"43.3237674948806,-0.350430204816629","48.8463434092809,2.31541258881328",43.3237674948806,-0.350430204816629,48.8463434092809,2.31541258881328,640780946-750100208,"-0.350430204816629,43.3237674948806-2.31541258881328,48.8463434092809",7:16:00,436
2559,250006954,330781360,"47.2249200833962,5.96476126928613","44.8300188639125,-0.603297388952739",47.2249200833962,5.96476126928613,44.8300188639125,-0.603297388952739,250006954-330781360,"5.96476126928613,47.2249200833962--0.603297388952739,44.8300188639125",7:17:00,437
2560,750100125,640780946,"48.8401867523797,2.36319606659128","43.3237674948806,-0.350430204816629",48.8401867523797,2.36319606659128,43.3237674948806,-0.350430204816629,750100125-640780946,"2.36319606659128,48.8401867523797--0.350430204816629,43.3237674948806",7:17:00,437
2561,860000223,300780152,"46.5622968867322,0.379943441285861","43.8471935555551,4.37381111230514",46.5622968867322,0.379943441285861,43.8471935555551,4.37381111230514,860000223-300780152,"0.379943441285861,46.5622968867322-4.37381111230514,43.8471935555551",7:17:00,437
2562,310781000,250006954,"43.6491208043028,1.32625109672475","47.2249200833962,5.96476126928613",43.6491208043028,1.32625109672475,47.2249200833962,5.96476126928613,310781000-250006954,"1.32625109672475,43.6491208043028-5.96476126928613,47.2249200833962",7:17:00,437
2563,340015502,930300025,"43.6024922940585,3.91428695033118","48.9053098427993,2.39021276397707",43.6024922940585,3.91428695033118,48.9053098427993,2.39021276397707,340015502-930300025,"3.91428695033118,43.6024922940585-2.39021276397707,48.9053098427993",7:17:00,437
2564,640780946,920000650,"43.3237674948806,-0.350430204816629","48.8712105447387,2.22125484098355",43.3237674948806,-0.350430204816629,48.8712105447387,2.22125484098355,640780946-920000650,"-0.350430204816629,43.3237674948806-2.22125484098355,48.8712105447387",7:17:00,437
2565,920000650,340015502,"48.8712105447387,2.22125484098355","43.6024922940585,3.91428695033118",48.8712105447387,2.22125484098355,43.6024922940585,3.91428695033118,920000650-340015502,"2.22125484098355,48.8712105447387-3.91428695033118,43.6024922940585",7:17:00,437
2566,930300025,340015502,"48.9053098427993,2.39021276397707","43.6024922940585,3.91428695033118",48.9053098427993,2.39021276397707,43.6024922940585,3.91428695033118,930300025-340015502,"2.39021276397707,48.9053098427993-3.91428695033118,43.6024922940585",7:17:00,437
2567,340015502,490000049,"43.6024922940585,3.91428695033118","47.4804327922018,-0.554915702306227",43.6024922940585,3.91428695033118,47.4804327922018,-0.554915702306227,340015502-490000049,"3.91428695033118,43.6024922940585--0.554915702306227,47.4804327922018",7:17:00,437
2568,510004302,130780521,"49.2315914438182,4.01891775517964","43.3790936619422,5.36104667410839",49.2315914438182,4.01891775517964,43.3790936619422,5.36104667410839,510004302-130780521,"4.01891775517964,49.2315914438182-5.36104667410839,43.3790936619422",7:17:00,437
2569,940100027,640000162,"48.7987961562809,2.45403659876121","43.4831123974295,-1.48230729819466",48.7987961562809,2.45403659876121,43.4831123974295,-1.48230729819466,940100027-640000162,"2.45403659876121,48.7987961562809--1.48230729819466,43.4831123974295",7:17:00,437
2570,340782085,920100039,"43.6293421830654,3.86109562857508","48.907535090038,2.3084903884373",43.6293421830654,3.86109562857508,48.907535090038,2.3084903884373,340782085-920100039,"3.86109562857508,43.6293421830654-2.3084903884373,48.907535090038",7:18:00,438
2571,640780946,140000209,"43.3237674948806,-0.350430204816629","49.2103044816168,-0.362919131071607",43.3237674948806,-0.350430204816629,49.2103044816168,-0.362919131071607,640780946-140000209,"-0.350430204816629,43.3237674948806--0.362919131071607,49.2103044816168",7:18:00,438
2572,750120016,640780946,"48.8380976694563,2.34424407470017","43.3237674948806,-0.350430204816629",48.8380976694563,2.34424407470017,43.3237674948806,-0.350430204816629,750120016-640780946,"2.34424407470017,48.8380976694563--0.350430204816629,43.3237674948806",7:18:00,438
2573,920000650,640780946,"48.8712105447387,2.22125484098355","43.3237674948806,-0.350430204816629",48.8712105447387,2.22125484098355,43.3237674948806,-0.350430204816629,920000650-640780946,"2.22125484098355,48.8712105447387--0.350430204816629,43.3237674948806",7:18:00,438
2574,300780152,860000223,"43.8471935555551,4.37381111230514","46.5622968867322,0.379943441285861",43.8471935555551,4.37381111230514,46.5622968867322,0.379943441285861,300780152-860000223,"4.37381111230514,43.8471935555551-0.379943441285861,46.5622968867322",7:18:00,438
2575,370000499,130780521,"47.3892168249298,0.680384029096055","43.3790936619422,5.36104667410839",47.3892168249298,0.680384029096055,43.3790936619422,5.36104667410839,370000499-130780521,"0.680384029096055,47.3892168249298-5.36104667410839,43.3790936619422",7:18:00,438
2576,940100043,130783293,"48.8099378886903,2.35794972984933","43.2921827109591,5.40210784602733",48.8099378886903,2.35794972984933,43.2921827109591,5.40210784602733,940100043-130783293,"2.35794972984933,48.8099378886903-5.40210784602733,43.2921827109591",7:18:00,438
2578,260000013,440000271,"44.9121177176949,4.90791753137643","47.211884784187,-1.55284153807415",44.9121177176949,4.90791753137643,47.211884784187,-1.55284153807415,260000013-440000271,"4.90791753137643,44.9121177176949--1.55284153807415,47.211884784187",7:18:00,438
2579,640000162,750000499,"43.4831123974295,-1.48230729819466","48.8302146671579,2.34096760180631",43.4831123974295,-1.48230729819466,48.8302146671579,2.34096760180631,640000162-750000499,"-1.48230729819466,43.4831123974295-2.34096760180631,48.8302146671579",7:18:00,438
2580,640780946,750100125,"43.3237674948806,-0.350430204816629","48.8401867523797,2.36319606659128",43.3237674948806,-0.350430204816629,48.8401867523797,2.36319606659128,640780946-750100125,"-0.350430204816629,43.3237674948806-2.36319606659128,48.8401867523797",7:18:00,438
2581,920120011,640000162,"48.8143986458456,2.25568637311088","43.4831123974295,-1.48230729819466",48.8143986458456,2.25568637311088,43.4831123974295,-1.48230729819466,920120011-640000162,"2.25568637311088,48.8143986458456--1.48230729819466,43.4831123974295",7:18:00,438
2582,680000684,870000064,"48.0773323152992,7.33619160182096","45.8108795364584,1.23857142808933",48.0773323152992,7.33619160182096,45.8108795364584,1.23857142808933,680000684-870000064,"7.33619160182096,48.0773323152992-1.23857142808933,45.8108795364584",7:19:00,439
2583,750000549,340782085,"48.8783047798995,2.37808843367725","43.6293421830654,3.86109562857508",48.8783047798995,2.37808843367725,43.6293421830654,3.86109562857508,750000549-340782085,"2.37808843367725,48.8783047798995-3.86109562857508,43.6293421830654",7:19:00,439
2584,750100125,640000162,"48.8401867523797,2.36319606659128","43.4831123974295,-1.48230729819466",48.8401867523797,2.36319606659128,43.4831123974295,-1.48230729819466,750100125-640000162,"2.36319606659128,48.8401867523797--1.48230729819466,43.4831123974295",7:19:00,439
2585,920100039,340782085,"48.907535090038,2.3084903884373","43.6293421830654,3.86109562857508",48.907535090038,2.3084903884373,43.6293421830654,3.86109562857508,920100039-340782085,"2.3084903884373,48.907535090038-3.86109562857508,43.6293421830654",7:19:00,439
2586,130780521,920000650,"43.3790936619422,5.36104667410839","48.8712105447387,2.22125484098355",43.3790936619422,5.36104667410839,48.8712105447387,2.22125484098355,130780521-920000650,"5.36104667410839,43.3790936619422-2.22125484098355,48.8712105447387",7:19:00,439
2587,750100208,640780946,"48.8463434092809,2.31541258881328","43.3237674948806,-0.350430204816629",48.8463434092809,2.31541258881328,43.3237674948806,-0.350430204816629,750100208-640780946,"2.31541258881328,48.8463434092809--0.350430204816629,43.3237674948806",7:19:00,439
2588,340015502,920000650,"43.6024922940585,3.91428695033118","48.8712105447387,2.22125484098355",43.6024922940585,3.91428695033118,48.8712105447387,2.22125484098355,340015502-920000650,"3.91428695033118,43.6024922940585-2.22125484098355,48.8712105447387",7:20:00,440
2589,640000162,750100208,"43.4831123974295,-1.48230729819466","48.8463434092809,2.31541258881328",43.4831123974295,-1.48230729819466,48.8463434092809,2.31541258881328,640000162-750100208,"-1.48230729819466,43.4831123974295-2.31541258881328,48.8463434092809",7:20:00,440
2590,750000499,130783293,"48.8302146671579,2.34096760180631","43.2921827109591,5.40210784602733",48.8302146671579,2.34096760180631,43.2921827109591,5.40210784602733,750000499-130783293,"2.34096760180631,48.8302146671579-5.40210784602733,43.2921827109591",7:20:00,440
2592,830100574,540002698,"43.1333032961808,5.93227992696555","48.6499893953382,6.15563183060283",43.1333032961808,5.93227992696555,48.6499893953382,6.15563183060283,830100574-540002698,"5.93227992696555,43.1333032961808-6.15563183060283,48.6499893953382",7:20:00,440
